Lille 3.0 50.6
Nantes -1.5 47.2
Bastia 9.4 42.7
Nice 7.2 43.7
Troyes 4.0 48.3
Toulouse 1.4 43.6
Bordeaux -0.5 44.8
Montpellier 3.8 43.6
Marseille 5.3 43.2
Lyon 4.8 45.7
Monaco 7.4 43.7
Saint-Etienne 4.3 45.4
Guingamp -3.1 48.5
Rennes -1.6 48.0
Caen -0.3 49.1
Angers -0.5 47.4
Reims 4.0 49.2
Lorient -3.3 47.7
ParisSG 2.3 48.8
GFCAjaccio 8.7 41.9
Ajaccio 8.7 41.9
EvianTG 6.5 46.3
Metz 6.1 49.1
Lens 2.8 50.4
Valenciennes 3.5 50.3
Sochaux 6.8 47.5
Nancy 6.2 48.6
Brest -4.4 48.4
