;0;1;2;3;4;5;6;7;8;9;10;12;13;15;17;20;22;23;26;31;32;33;36;37;38;41;43;44;47;49;50;53;54;56;62;64;65;69;70;71;72;74;76;79;80;83;84;87;89;91;93;97;98;100;102;106;107;108;109;110;114;115;118;125;127;129;131;134;137;144;146;147;148;149;151;153;159;161;162;172;174;175;182;184;186;199;205;206;225;226;237;239;245;255;259;265;268;270;274;303;326;370;388;406;407;441;456;501;611;613;705
0;1.0;24.0;1.0;52.0;1.0;1.0;7.0;2.0;0;3.0;1.0;1.0;2.0;1.0;7.0;2.0;1.0;1.0;0;0;0;0;0;1.0;2.0;6.0;1.0;0;0;1.0;0;3.0;0;0;1.0;2.0;2.0;0;2.0;0;0;0;0;0;0;0;3.0;0;0;0;1.0;0;1.0;1.0;1.0;0;1.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;24.0;0;3.0;13.0;0;3.0;7.0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;1.0;0;0;1.0;0;1.0;0;4.0;1.0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0
2;1.0;3.0;0;11.0;0;1.0;1.0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;5.0;0;0;0;0;1.0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;52.0;13.0;11.0;0;1.0;1.0;0;0;0;4.0;0;0;1.0;0;3.0;1.0;0;16.0;0;0;0;0;0;0;0;64.0;0;1.0;0;0;0;3.0;19.0;1.0;1.0;0;1.0;0;4.0;5.0;21.0;2.0;1.0;0;0;1.0;3.0;4.0;1.0;0;3.0;0;1.0;1.0;1.0;0;0;3.0;2.0;0;2.0;0;0;0;22.0;0;0;0;0;5.0;1.0;0;0;0;0;1.0;0;0;1.0;0;0;0;4.0;9.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1.0;0;0;1.0;0;0;1.0;5.0;1.0;2.0;13.0;0;2.0;1.0;0;0;0;2.0;0;2.0;0;0;0;1.0;1.0;4.0;2.0;0;0;1.0;0;5.0;0;1.0;0;0;0;1.0;3.0;4.0;0;0;0;1.0;1.0;3.0;0;7.0;0;1.0;3.0;1.0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;2.0;0;0;0;1.0;0;0;1.0;0;0;0;0;3.0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;1.0;1.0;0;0;0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1.0;3.0;1.0;1.0;0;0;40.0;0;0;0;0;1.0;1.0;0;3.0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;11.0;2.0;0;0;0;90.0;1.0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;3.0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0
6;7.0;7.0;1.0;0;1.0;40.0;0;1.0;0;3.0;2.0;2.0;2.0;0;54.0;0;0;1.0;0;0;0;0;0;3.0;0;3.0;3.0;1.0;0;4.0;1.0;1.0;0;0;5.0;2.0;0;1.0;1.0;1.0;0;0;0;2.0;0;0;0;0;1.0;0;1.0;1.0;0;2.0;2.0;0;5.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;7.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;1.0;0;0;0
7;2.0;0;0;0;5.0;0;1.0;0;0;1.0;1.0;4.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;2.0;0;2.0;0;1.0;0;1.0;0;1.0;0;0;0;0;2.0;0;0;3.0;1.0;0;0;0;0;0;0;0;1.0;3.0;0;1.0;1.0;1.0;3.0;0;1.0;0;1.0;3.0;0;0;0;4.0;0;0;1.0;0;1.0;0;0;0;0;2.0;2.0;0;0;1.0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;2.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;1.0;0;3.0;0;0;0;13.0;0;1.0;0;1.0;0;0;5.0;2.0;0;0;0;0;0;2.0;0;0;0;0;3.0;2.0;0;0;4.0;0;0;3.0;9.0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;7.0;0;0;0;0;0;0;1.0;0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
